age,age_spouse,citizen,ethnicity,female,forborn,ftfy,hispanic,income_spouse,incwage,major,marrspp,metro,nchild,nchlt5,race,region,single,south,speakeng,years_usa,yrmarr
42,36,1,"White",0,0,1,0,215000,398000,"Humanities",1,1,0,0,"White","West",0,0,1,42,2011
45,,1,"White",0,0,1,0,,100000,"Engineering",0,1,0,0,"White","West",1,0,1,45,0
41,44,1,"White",1,0,1,0,40000,75000,"Social sciences",1,1,2,0,"White","West",0,0,1,41,1998
45,,0,"Asian",1,1,0,0,,10100,"Business",0,1,2,0,"Asian","West",0,0,1,1,2000
46,,1,"Asian",1,0,1,0,,55000,"Other",0,1,2,0,"Asian","West",0,0,1,46,1994
35,,1,"Asian",0,1,1,0,,59000,"Humanities",0,1,0,0,"Asian","West",1,0,1,33,0
52,43,0,"White",0,1,0,0,0,1900,"Other",1,1,2,0,"White","West",0,0,0,1,1990
54,,1,"Asian",1,1,0,0,,25000,"Other",0,1,1,0,"Asian","West",0,0,1,37,1987
48,,1,"Black",1,0,0,0,,6000,"Social sciences",0,1,0,0,"Black","West",1,0,1,48,0
49,,1,"White",0,0,0,0,,17500,"Social sciences",0,1,0,0,"White","West",1,0,1,49,0
46,,1,"White",0,0,0,0,,37000,"Business",0,1,0,0,"White","West",1,0,1,46,0
48,,1,"White",1,0,1,0,,105000,"Humanities",0,1,3,0,"White","West",0,0,1,48,1991
30,29,1,"White",0,0,1,0,12000,45000,"Social sciences",1,1,2,1,"White","West",0,0,1,30,2002
29,30,1,"White",1,0,0,0,45600,12000,"Social sciences",1,1,2,1,"White","West",0,0,1,29,2002
36,34,1,"Black",0,0,0,0,100000,12000,"Public service",1,1,1,1,"Black","West",0,0,1,36,2002
47,,1,"Black",0,0,0,0,,7000,"Business",0,1,2,0,"Black","West",0,0,1,47,2005
40,,1,"White",1,0,1,0,,145000,"Social sciences",0,1,1,1,"White","West",1,0,1,40,0
47,,0,"Asian",1,1,0,0,,20000,"Business",0,1,1,0,"Asian","West",0,0,0,1,1987
53,,0,"Asian",0,1,0,0,,20000,"Public service",0,1,0,0,"Asian","West",0,0,0,1,1987
27,35,1,"Hispanic",1,0,0,1,52000,17300,"Social sciences",1,1,0,0,"White","West",0,0,1,27,2008
53,,1,"Black",1,0,1,0,,61000,"Education",0,1,2,0,"Black","West",0,0,1,53,1989
53,,1,"White",1,0,0,0,,10800,"Natural sciences",0,1,2,0,"White","West",0,0,1,53,1991
47,43,1,"White",0,0,1,0,72000,72000,"Humanities",1,1,2,0,"White","West",0,0,1,47,2003
49,58,1,"Hispanic",0,0,0,1,0,17000,"Humanities",1,1,0,0,"White","West",0,0,1,49,1986
39,37,1,"White",0,0,1,0,160000,75000,"Business",1,1,2,0,"White","West",0,0,1,39,1999
30,,1,"White",0,0,1,0,,87000,"Engineering",0,1,0,0,"White","West",1,0,1,30,0
46,,0,"Asian",1,1,0,0,,1200,"Humanities",0,1,1,0,"Asian","West",0,0,0,7,1988
42,,1,"White",0,0,1,0,,40000,"Social sciences",0,1,0,0,"White","West",1,0,1,42,0
47,,1,"Black",1,1,1,0,,45000,"Engineering",0,1,0,0,"Black","West",0,0,1,34,1991
39,36,1,"White",0,0,1,0,7000,78000,"Other",1,1,2,0,"White","West",0,0,1,39,1998
36,39,1,"White",1,0,0,0,78000,5000,"Humanities",1,1,2,0,"White","West",0,0,1,36,1998
39,39,0,"Asian",0,1,1,0,0,120000,"Business",1,1,3,2,"Asian","West",0,0,1,11,2000
40,33,0,"Asian",0,1,1,0,55000,27000,"Health",1,1,5,4,"Asian","West",0,0,1,11,2005
33,40,0,"Asian",1,1,1,0,27000,55000,"Business",1,1,5,4,"Asian","West",0,0,1,7,2005
33,,0,"Asian",1,1,1,0,,27000,"Health",0,1,0,0,"Asian","West",0,0,1,8,2004
28,,1,"White",1,0,1,0,,30000,"Humanities",0,1,0,0,"White","West",1,0,1,28,0
53,52,1,"Asian",0,1,1,0,12000,80000,"Engineering",1,1,0,0,"Asian","West",0,0,1,25,1987
42,63,1,"White",1,0,1,0,120000,81000,"Health",1,1,3,0,"White","West",0,0,1,42,2008
45,49,1,"White",1,0,1,0,103000,124000,"Social sciences",1,1,1,0,"White","West",0,0,1,45,2001
28,39,1,"White",1,0,1,0,3000,53000,"Business",1,1,4,2,"White","West",0,0,1,28,2010
45,44,1,"White",1,0,0,0,398000,11000,"Business",1,1,2,0,"White","West",0,0,1,45,1998
27,,1,"White",0,0,1,0,,40000,"Humanities",0,1,0,0,"White","West",1,0,1,27,0
31,,1,"White",1,0,1,0,,68000,"Business",0,1,0,0,"White","West",1,0,1,31,0
30,30,1,"Hispanic",1,0,1,1,90000,75000,"Social sciences",1,1,1,1,"Other","West",0,0,1,30,2008
38,,1,"Hispanic",0,1,1,1,,70000,"Social sciences",0,1,0,0,"White","West",0,0,1,33,2000
29,29,1,"White",1,0,0,0,27000,20000,"Other",1,1,1,1,"White","West",0,0,1,29,2006
25,,1,"White",1,0,1,0,,30000,"Natural sciences",0,1,0,0,"White","West",1,0,1,25,0
39,43,0,"Asian",1,1,1,0,100000,100000,"Business",1,1,2,1,"Asian","West",0,0,1,17,1994
44,,1,"White",1,0,1,0,,83000,"Business",0,1,2,0,"White","West",0,0,1,44,1989
32,39,1,"Hispanic",1,0,0,1,38000,25000,"Social sciences",1,1,1,0,"White","West",0,0,1,32,2004
36,34,1,"White",0,0,1,0,0,200000,"Business",1,1,2,2,"White","West",0,0,1,36,2003
28,28,1,"Black",0,0,1,0,21500,65000,"Social sciences",1,1,2,2,"Black","West",0,0,1,28,2009
28,28,1,"Black",1,0,0,0,65000,21500,"Social sciences",1,1,2,2,"Black","West",0,0,1,28,2009
26,,1,"Hispanic",1,0,1,1,,78000,"Social sciences",0,1,0,0,"White","West",1,0,1,26,0
41,42,1,"White",1,0,0,0,75000,30100,"Education",1,1,3,0,"White","West",0,0,1,41,1993
44,45,1,"White",0,0,1,0,0,110000,"Business",1,1,3,0,"White","West",0,0,1,44,1986
28,,1,"White",0,0,1,0,,65000,"Social sciences",0,1,0,0,"White","West",1,0,1,28,0
25,,1,"White",1,0,0,0,,20000,"Humanities",0,1,0,0,"White","West",1,0,1,25,0
45,43,1,"Asian",0,1,1,0,60000,100000,"Business",1,1,2,1,"Asian","West",0,0,1,26,1996
43,45,1,"Asian",1,1,1,0,100100,60000,"Humanities",1,1,2,1,"Asian","West",0,0,1,15,1996
33,42,1,"White",1,0,0,0,410000,15000,"Social sciences",1,1,0,0,"White","West",0,0,1,33,2009
41,40,1,"White",1,0,0,0,70000,62000,"Humanities",1,1,2,0,"White","West",0,0,1,41,1996
40,,1,"Asian",1,0,0,0,,18000,"Education",0,1,0,0,"Asian","West",1,0,1,40,0
50,53,1,"White",0,0,1,0,4300,75000,"Engineering",1,1,1,0,"White","West",0,0,1,50,1997
45,43,1,"Asian",0,1,1,0,0,160000,"Engineering",1,1,2,0,"Asian","West",0,0,1,32,1995
49,47,1,"Hispanic",0,0,1,1,4900,140000,"Engineering",1,1,2,0,"White","West",0,0,1,49,1985
47,49,1,"Hispanic",1,1,0,1,140090,4900,"Social sciences",1,1,2,0,"White","West",0,0,1,39,1985
38,,0,"Hispanic",1,1,0,1,,960,"Humanities",0,1,7,1,"White","West",1,0,0,21,0
29,,1,"White",1,0,1,0,,25000,"Social sciences",0,1,0,0,"White","West",1,0,1,29,0
52,53,1,"White",1,0,1,0,52000,80000,"Health",1,1,0,0,"White","West",0,0,1,52,2006
49,40,1,"White",0,1,1,0,4300,160000,"Natural sciences",1,1,2,0,"White","West",0,0,1,19,1996
40,49,0,"White",1,1,0,0,161200,4300,"Business",1,1,2,0,"White","West",0,0,1,15,1996
43,,1,"White",0,0,1,0,,180000,"Engineering",0,1,0,0,"White","West",1,0,1,43,0
28,,1,"Asian",0,0,1,0,,80000,"Engineering",0,1,0,0,"Asian","West",1,0,1,28,0
28,,1,"Black",0,0,1,0,,35000,"Business",0,1,0,0,"Black","West",1,0,1,28,0
26,,1,"White",0,0,1,0,,26000,"Business",0,1,0,0,"White","West",1,0,1,26,0
35,,1,"White",0,0,1,0,,111000,"Business",0,1,0,0,"White","West",1,0,1,35,0
52,56,0,"Asian",1,1,1,0,0,146000,"Health",1,1,0,0,"Asian","West",0,0,1,27,1990
53,,1,"White",0,1,0,0,,60000,"Engineering",0,1,1,0,"White","West",0,0,1,26,1994
31,,1,"Black",1,0,1,0,,44000,"Business",0,1,0,0,"Black","West",1,0,1,31,0
29,,1,"White",0,0,0,0,,15000,"Natural sciences",0,1,0,0,"White","West",1,0,1,29,0
26,,1,"Asian",1,1,1,0,,56000,"Humanities",0,1,0,0,"Asian","West",1,0,1,14,0
46,,1,"Asian",0,1,1,0,,90000,"Humanities",0,1,0,0,"Asian","West",1,0,1,41,0
43,,1,"Hispanic",0,0,1,1,,95000,"Humanities",0,1,0,0,"White","West",1,0,1,43,0
51,51,1,"White",0,1,1,0,60000,35400,"Humanities",1,1,1,0,"White","West",0,0,1,22,1983
31,34,1,"Asian",1,1,1,0,200000,31500,"Business",1,1,1,1,"Asian","West",0,0,1,19,2008
41,41,1,"Hispanic",1,1,1,1,12000,55000,"Business",1,1,2,0,"White","West",0,0,1,15,1996
39,42,1,"Hispanic",0,0,1,1,25900,40000,"Business",1,1,1,0,"White","West",0,0,1,39,2009
25,,1,"Asian",1,1,1,0,,55000,"Business",0,1,0,0,"Asian","West",1,0,1,11,0
41,,1,"White",1,1,0,0,,24500,"Social sciences",0,1,0,0,"White","West",1,0,1,23,0
50,,1,"White",1,0,0,0,,185000,"Engineering",0,1,0,0,"White","West",1,0,1,50,0
51,,1,"White",1,0,0,0,,100000,"Health",0,1,0,0,"White","West",1,0,1,51,0
49,45,1,"White",0,0,1,0,3200,135000,"Natural sciences",1,1,2,0,"White","West",0,0,1,49,1993
45,49,1,"White",1,0,0,0,135000,3200,"Natural sciences",1,1,2,0,"White","West",0,0,1,45,1993
30,,1,"Black",1,0,0,0,,12700,"Other",0,1,0,0,"Black","West",1,0,1,30,0
26,,1,"Asian",0,1,0,0,,4000,"Other",0,1,0,0,"Asian","West",1,0,1,26,0
47,50,1,"White",1,0,1,0,15304,86000,"Engineering",1,1,1,0,"White","West",0,0,1,47,1983
46,,1,"White",1,0,0,0,,3000,"Social sciences",0,1,1,0,"White","West",1,0,1,46,0
42,38,1,"White",0,0,0,0,25300,25000,"Education",1,1,4,0,"White","West",0,0,1,42,1991
33,39,1,"Hispanic",1,0,1,1,50000,70000,"Business",1,1,0,0,"White","West",0,0,1,33,2008
40,51,0,"Asian",1,1,0,0,2660,18900,"Social sciences",1,1,2,0,"Asian","West",0,0,1,15,1994
29,,1,"White",0,0,1,0,,40000,"Public service",0,1,0,0,"White","West",1,0,1,29,0
34,,1,"Asian",0,1,0,0,,49100,"Education",0,1,0,0,"Asian","West",1,0,1,30,0
31,,1,"Asian",1,0,0,0,,2400,"Social sciences",0,1,0,0,"Asian","West",1,0,1,31,0
26,,1,"Asian",1,0,0,0,,12800,"Humanities",0,1,0,0,"Asian","West",1,0,1,26,0
47,48,0,"Asian",0,1,1,0,2000,120000,"Social sciences",1,1,0,0,"Asian","West",0,0,1,16,1994
42,,1,"White",1,0,1,0,,7600,"Social sciences",0,1,0,0,"White","West",1,0,1,42,0
35,,0,"Asian",1,1,1,0,,40000,"Natural sciences",0,1,0,0,"Asian","West",1,0,1,13,0
51,42,1,"White",0,0,0,0,138000,80000,"Engineering",1,1,3,1,"White","West",0,0,1,51,2007
46,53,1,"White",1,0,1,0,37700,81000,"Social sciences",1,1,3,0,"White","West",0,0,1,46,1997
42,42,1,"White",1,0,1,0,200000,398000,"Social sciences",1,1,2,0,"White","West",0,0,1,42,1999
42,42,1,"White",0,0,1,0,417200,200000,"Social sciences",1,1,2,0,"White","West",0,0,1,42,1999
33,36,1,"White",0,0,1,0,60000,50000,"Business",1,1,0,0,"White","West",0,0,1,33,2010
36,36,1,"White",1,0,0,0,60000,60000,"Health",1,1,2,2,"White","West",0,0,0,36,2002
50,,1,"Black",0,0,1,0,,82000,"Public service",0,1,0,0,"Black","West",0,0,1,50,1979
46,,1,"White",0,1,1,0,,20000,"Social sciences",0,1,0,0,"White","West",1,0,1,22,0
28,,1,"White",0,0,0,0,,10000,"Engineering",0,0,0,0,"White","West",1,0,1,28,0
46,44,0,"Asian",1,1,0,0,34000,16000,"Business",1,1,2,0,"Asian","West",0,0,1,10,1992
44,46,0,"Asian",0,1,1,0,16000,34000,"Engineering",1,1,2,0,"Asian","West",0,0,1,12,1992
40,,1,"White",1,0,0,0,,1000,"Social sciences",0,0,2,0,"White","West",0,0,1,40,1997
29,29,1,"White",0,0,1,0,0,100000,"Business",1,1,1,1,"White","West",0,0,1,29,2009
26,,1,"Hispanic",0,0,0,1,,21000,"Business",0,1,0,0,"White","West",1,0,1,26,0
38,37,1,"White",0,0,1,0,15000,150000,"Humanities",1,1,3,2,"White","West",0,0,1,38,2002
30,,1,"Asian",0,0,1,0,,20800,"Social sciences",0,1,0,0,"Asian","West",0,0,1,30,2009
38,,1,"White",1,0,1,0,,40000,"Social sciences",0,1,1,1,"White","West",1,0,1,38,0
43,37,1,"White",1,0,1,0,24700,78000,"Social sciences",1,1,1,0,"White","West",0,0,1,43,2010
36,40,1,"White",1,0,0,0,120000,3800,"Humanities",1,1,3,2,"White","West",0,0,1,36,2004
27,,1,"Asian",0,1,1,0,,32000,"Engineering",0,1,0,0,"Asian","West",1,0,1,8,0
26,,1,"White",0,1,0,0,,1500,"Humanities",0,1,0,0,"White","West",1,0,1,19,0
25,,1,"White",0,0,0,0,,28000,"Humanities",0,1,0,0,"White","West",1,0,1,25,0
31,,1,"White",0,0,1,0,,220000,"Engineering",0,1,0,0,"White","West",1,0,1,31,0
40,45,1,"White",1,0,1,0,96000,55000,"Business",1,1,2,0,"White","West",0,0,1,40,2005
45,40,1,"Black",0,0,1,0,55000,96000,"Business",1,1,2,0,"Black","West",0,0,1,45,2005
52,,1,"Asian",0,0,1,0,,135000,"Engineering",0,1,0,0,"Asian","West",1,0,1,52,0
54,,1,"Black",0,0,0,0,,7800,"Engineering",0,1,0,0,"Black","West",1,0,1,54,0
51,,1,"White",0,0,1,0,,53000,"Business",0,1,0,0,"White","West",1,0,1,51,0
29,,1,"Asian",1,0,1,0,,40000,"Business",0,1,0,0,"Asian","West",1,0,1,29,0
39,41,1,"White",1,0,1,0,500,90000,"Health",1,1,1,0,"White","West",0,0,1,39,2004
46,,1,"White",1,0,0,0,,28100,"Social sciences",0,1,0,0,"White","West",1,0,1,46,0
44,48,1,"White",0,0,1,0,43100,56000,"Engineering",1,1,0,0,"White","West",0,0,1,44,2008
43,,1,"White",0,0,1,0,,43000,"Business",0,1,0,0,"White","West",1,0,1,43,0
31,29,1,"White",0,0,1,0,0,45000,"Business",1,1,2,0,"White","West",0,0,1,31,2003
45,,1,"Hispanic",0,1,1,1,,134000,"Engineering",0,1,0,0,"White","West",1,0,1,42,0
44,35,1,"White",0,0,1,0,200,398000,"Social sciences",1,1,0,0,"White","West",0,0,1,44,1999
43,40,1,"White",0,0,1,0,10000,398000,"Business",1,1,2,0,"White","West",0,0,1,43,1998
27,48,1,"Hispanic",1,0,1,1,5000,24000,"Social sciences",1,1,3,0,"White","West",0,0,1,27,2009
48,49,0,"Hispanic",0,1,1,1,18000,15000,"Business",1,1,0,0,"White","West",0,0,1,11,2004
27,,1,"White",1,0,1,0,,30000,"Social sciences",0,1,0,0,"White","West",1,0,1,27,0
47,53,1,"White",1,0,1,0,40000,150000,"Humanities",1,1,0,0,"White","West",0,0,1,47,1985
25,,1,"White",1,0,1,0,,48000,"Natural sciences",0,1,0,0,"White","West",1,0,1,25,0
31,29,1,"Hispanic",1,0,1,1,14000,44600,"Humanities",1,1,0,0,"White","West",0,0,1,31,2010
32,35,1,"Asian",1,1,1,0,175000,150000,"Social sciences",1,1,1,1,"Asian","West",0,0,1,21,2005
51,50,1,"Asian",0,0,1,0,7000,100000,"Public service",1,0,0,0,"Asian","West",0,0,1,51,1986
25,22,1,"White",0,0,1,0,1600,40000,"Humanities",1,1,0,0,"White","West",0,0,1,25,2010
28,,1,"White",1,0,1,0,,30000,"Humanities",0,1,0,0,"White","West",1,0,1,28,0
30,,1,"Asian",1,0,1,0,,74000,"Social sciences",0,1,0,0,"Asian","West",1,0,1,30,0
34,,0,"Hispanic",1,1,0,1,,42000,"Natural sciences",0,1,0,0,"White","West",1,0,0,13,0
37,,1,"Hispanic",0,1,1,1,,75000,"Public service",0,1,5,0,"White","West",0,0,1,37,1996
38,39,1,"White",0,0,1,0,115500,398000,"Business",1,1,2,1,"White","West",0,0,1,38,1999
39,38,1,"White",1,0,1,0,399500,115000,"Natural sciences",1,1,2,1,"White","West",0,0,1,39,1999
33,30,1,"White",0,0,1,0,24000,88000,"Social sciences",1,1,0,0,"White","West",0,0,1,33,2011
52,,1,"Black",1,0,1,0,,65000,"Business",0,1,0,0,"Black","West",0,0,1,52,1993
32,27,1,"White",1,0,1,0,65030,85000,"Social sciences",1,1,0,0,"White","West",0,0,1,32,2010
39,40,1,"White",0,0,1,0,80000,150000,"Social sciences",1,1,2,1,"White","West",0,0,1,39,2003
40,39,1,"Black",1,1,1,0,175000,80000,"Humanities",1,1,2,1,"Black","West",0,0,1,31,2003
44,,1,"White",0,0,1,0,,57000,"Social sciences",0,1,0,0,"White","West",1,0,1,44,0
52,,1,"Black",1,0,1,0,,122000,"Health",0,1,1,1,"Black","West",1,0,1,52,0
37,41,1,"Black",1,0,0,0,60000,25000,"Natural sciences",1,1,2,0,"Black","West",0,0,1,37,2000
48,,1,"White",1,0,1,0,,135000,"Social sciences",0,1,0,0,"White","West",1,0,1,48,0
44,45,1,"White",0,0,1,0,398000,100000,"Social sciences",1,1,1,0,"White","West",0,0,1,44,2005
52,61,1,"White",0,0,1,0,37000,65000,"Business",1,1,0,0,"White","West",0,0,1,52,1985
54,57,1,"Hispanic",1,0,1,1,17500,91000,"Business",1,1,1,0,"Other","West",0,0,1,54,2000
49,48,1,"White",0,0,1,0,20000,139000,"Natural sciences",1,1,3,0,"White","West",0,0,1,49,1989
48,49,1,"White",1,0,0,0,140000,20000,"Education",1,1,3,0,"White","West",0,0,1,48,1989
31,24,1,"White",1,0,1,0,19000,32000,"Humanities",1,0,0,0,"White","West",0,0,1,31,2010
35,36,1,"White",0,0,1,0,30000,135000,"Business",1,1,1,1,"White","West",0,0,1,35,1998
31,38,1,"White",1,0,1,0,376500,85000,"Business",1,1,0,0,"White","West",0,0,1,31,2009
25,,1,"White",0,0,1,0,,36000,"Business",0,1,0,0,"White","West",0,0,1,25,2005
37,36,1,"White",0,0,1,0,50000,60000,"Other",1,1,1,1,"White","West",0,0,1,37,2001
25,,1,"White",1,0,1,0,,28000,"Humanities",0,1,0,0,"White","West",1,0,1,25,0
50,51,1,"White",1,0,1,0,60000,25000,"Health",1,1,0,0,"White","West",0,0,1,50,1985
40,30,1,"White",0,0,0,0,0,18000,"Social sciences",1,1,2,1,"White","West",0,0,1,40,2000
51,,1,"White",0,0,1,0,,106000,"Humanities",0,0,0,0,"White","West",0,0,1,51,2005
42,41,1,"White",0,0,1,0,0,70000,"Engineering",1,1,4,0,"White","West",0,0,1,42,1997
43,64,1,"White",1,0,1,0,10520,70000,"Engineering",1,1,1,0,"White","West",0,0,1,43,1992
44,51,1,"White",1,0,1,0,74000,39800,"Social sciences",1,1,2,0,"White","West",0,0,1,44,2008
25,,1,"White",1,0,1,0,,42000,"Public service",0,1,0,0,"White","West",1,0,1,25,0
38,34,0,"Asian",0,1,1,0,20000,90000,"Engineering",1,1,1,0,"Asian","West",0,0,1,11,1998
48,40,1,"White",0,0,1,0,0,120000,"Engineering",1,1,2,0,"White","West",0,0,1,48,1994
28,28,1,"White",0,0,1,0,53000,32000,"Education",1,1,0,0,"White","West",0,0,1,28,2008
28,28,1,"White",1,0,1,0,32000,52000,"Natural sciences",1,1,0,0,"White","West",0,0,1,28,2008
39,,1,"White",1,0,1,0,,43000,"Public service",0,1,1,0,"White","West",1,0,1,39,0
52,62,1,"White",1,0,1,0,12600,82000,"Business",1,0,0,0,"White","West",0,0,1,52,1983
54,56,1,"White",1,0,0,0,8000,65000,"Social sciences",1,1,0,0,"White","West",0,0,1,54,1985
51,62,1,"White",1,0,1,0,71200,128000,"Engineering",1,1,0,0,"White","West",0,0,1,51,1991
50,51,1,"White",1,1,1,0,82000,62000,"Business",1,1,0,0,"White","West",0,0,1,49,1998
46,36,1,"White",0,0,1,0,0,110000,"Humanities",1,1,1,1,"White","West",0,0,1,46,2008
34,,1,"White",1,0,1,0,,44000,"Social sciences",0,1,0,0,"White","West",0,0,1,34,2006
27,,1,"White",0,0,1,0,,80000,"Engineering",0,1,0,0,"White","West",1,0,1,27,0
38,39,1,"White",0,0,1,0,0,238000,"Other",1,1,3,1,"White","West",0,0,1,38,1997
48,51,1,"White",0,0,1,0,0,180000,"Business",1,1,1,0,"White","West",0,0,1,48,1989
38,,1,"White",0,0,1,0,,120000,"Business",0,1,0,0,"White","West",1,0,1,38,0
35,,1,"Black",0,0,1,0,,50000,"Business",0,1,0,0,"Black","West",1,0,1,35,0
49,40,1,"White",0,0,1,0,11300,19000,"Business",1,1,1,0,"White","West",0,0,1,49,2001
28,28,1,"White",1,0,1,0,24500,48000,"Natural sciences",1,1,0,0,"White","West",0,0,1,28,2009
34,,0,"Hispanic",0,1,1,1,,5000,"Engineering",0,1,0,0,"White","West",1,0,1,9,0
32,33,1,"White",1,0,0,0,75000,25000,"Social sciences",1,1,0,0,"White","West",0,0,1,32,2005
28,,1,"White",1,0,0,0,,3000,"Humanities",0,0,0,0,"White","West",1,0,1,28,0
40,,1,"White",0,0,1,0,,75000,"Business",0,1,0,0,"White","West",1,0,1,40,0
34,,1,"White",1,0,1,0,,70000,"Health",0,1,0,0,"White","West",1,0,1,34,0
41,40,1,"White",1,0,1,0,30500,110000,"Business",1,1,1,1,"White","West",0,0,1,41,2007
53,54,1,"White",1,0,0,0,55120,18000,"Natural sciences",1,0,2,0,"White","West",0,0,1,53,1988
28,30,1,"White",1,0,1,0,47000,18000,"Humanities",1,0,1,1,"White","West",0,0,1,28,2008
32,29,1,"Black",0,0,1,0,29000,34000,"Business",1,1,1,1,"Black","West",0,0,1,32,2008
43,29,1,"Other",0,0,1,0,47000,29700,"Business",1,0,0,0,"Other","West",0,0,1,43,2009
29,43,1,"Other",1,0,1,0,29700,47000,"Humanities",1,0,0,0,"Other","West",0,0,1,29,2009
40,38,1,"White",0,0,1,0,40000,50000,"Public service",1,0,2,0,"White","West",0,0,1,40,1999
36,,1,"White",1,0,0,0,,12000,"Social sciences",0,1,2,0,"White","West",0,0,1,36,1997
27,28,1,"White",1,0,1,0,50000,35000,"Natural sciences",1,0,0,0,"White","West",0,0,1,27,2009
33,30,0,"Asian",0,1,1,0,28000,65000,"Engineering",1,1,1,1,"Asian","West",0,0,1,1,2005
30,,1,"White",1,0,0,0,,18400,"Humanities",0,1,1,1,"White","West",1,0,1,30,0
51,41,0,"White",0,1,1,0,60200,90000,"Engineering",1,1,1,0,"White","West",0,0,1,11,2002
50,,1,"White",1,0,1,0,,73000,"Education",0,1,0,0,"White","West",1,0,1,50,0
33,32,1,"White",0,0,1,0,1300,60000,"Business",1,0,3,1,"White","West",0,0,1,33,2000
31,29,1,"White",0,0,1,0,18900,49800,"Engineering",1,0,3,2,"White","West",0,0,1,31,1999
49,,1,"White",1,0,1,0,,55000,"Social sciences",0,1,2,0,"White","West",0,0,1,49,2006
50,,1,"White",0,0,1,0,,33000,"Social sciences",0,1,0,0,"White","West",0,0,1,50,1990
35,,1,"White",0,0,0,0,,700,"Social sciences",0,0,0,0,"White","West",1,0,1,35,0
26,,1,"White",1,0,0,0,,12000,"Social sciences",0,1,0,0,"White","West",1,0,1,26,0
25,,1,"White",0,0,0,0,,1000,"Social sciences",0,1,0,0,"White","West",1,0,1,25,0
29,,1,"White",0,0,0,0,,27700,"Engineering",0,1,0,0,"White","West",1,0,1,29,0
28,,1,"White",1,0,0,0,,13000,"Social sciences",0,1,0,0,"White","West",1,0,1,28,0
36,,1,"White",1,0,1,0,,50000,"Engineering",0,0,2,0,"White","West",0,0,1,36,1995
51,,1,"White",1,0,1,0,,135000,"Humanities",0,1,1,0,"White","West",0,0,1,51,2001
49,49,1,"White",1,0,1,0,50000,73000,"Humanities",1,1,0,0,"White","West",0,0,1,49,1994
29,28,1,"White",0,0,1,0,0,48000,"Natural sciences",1,0,2,2,"White","West",0,0,1,29,2005
45,,1,"White",1,0,1,0,,52000,"Social sciences",0,1,0,0,"White","West",0,0,1,45,2001
25,,1,"White",0,0,0,0,,11000,"Natural sciences",0,1,0,0,"White","West",1,0,1,25,0
28,,1,"White",1,0,0,0,,4200,"Education",0,1,0,0,"White","West",1,0,1,28,0
44,,1,"White",1,1,1,0,,25000,"Engineering",0,0,0,0,"White","West",0,0,1,43,2010
54,51,1,"White",0,0,1,0,48000,110000,"Public service",1,1,0,0,"White","West",0,0,1,54,1985
51,54,1,"White",1,0,1,0,110000,48000,"Humanities",1,1,0,0,"White","West",0,0,1,51,1985
51,,1,"White",1,0,1,0,,72000,"Business",0,1,0,0,"White","West",0,0,1,51,2004
35,,1,"White",0,0,1,0,,35000,"Business",0,0,2,0,"White","West",0,0,1,35,2001
29,,1,"Hispanic",1,0,1,1,,25200,"Social sciences",0,1,0,0,"White","West",1,0,1,29,0
45,,1,"Hispanic",0,0,0,1,,15000,"Engineering",0,1,0,0,"White","West",1,0,1,45,0
48,48,1,"White",0,0,1,0,6500,85000,"Social sciences",1,0,4,0,"White","West",0,0,1,48,1984
48,48,1,"White",1,0,0,0,85000,6500,"Education",1,0,4,0,"White","West",0,0,1,48,1984
44,40,1,"White",0,0,1,0,30000,100000,"Engineering",1,1,1,1,"White","West",0,0,1,44,2005
52,55,1,"White",1,0,1,0,45000,55000,"Health",1,0,0,0,"White","West",0,0,1,52,1980
38,,1,"White",1,0,1,0,,40000,"Education",0,1,3,0,"White","West",0,0,1,38,1991
27,,1,"White",0,0,1,0,,31500,"Humanities",0,1,0,0,"White","West",1,0,1,27,0
27,,1,"White",0,0,1,0,,120000,"Engineering",0,0,0,0,"White","West",1,0,1,27,0
49,,1,"White",1,0,0,0,,25000,"Business",0,0,0,0,"White","West",0,0,1,49,1994
39,39,1,"White",1,0,0,0,93001,2000,"Natural sciences",1,1,2,1,"White","West",0,0,1,39,1998
48,52,1,"White",0,0,1,0,0,150000,"Engineering",1,1,2,0,"White","West",0,0,1,48,1995
41,37,0,"Hispanic",1,1,0,1,34000,10000,"Social sciences",1,1,1,0,"White","West",0,0,1,13,2001
46,39,1,"White",0,0,1,0,0,51000,"Business",1,1,2,0,"White","West",0,0,1,46,2000
53,,1,"White",1,0,0,0,,24000,"Business",0,1,0,0,"White","West",0,0,1,53,1980
33,39,1,"White",1,0,1,0,1000,65000,"Engineering",1,1,0,0,"White","West",0,0,1,33,2005
26,,1,"White",0,0,1,0,,25000,"Natural sciences",0,1,0,0,"White","West",1,0,1,26,0
51,35,1,"White",0,0,1,0,0,120000,"Business",1,1,0,0,"White","West",0,0,1,51,2005
46,52,1,"White",1,0,0,0,50000,20000,"Business",1,1,4,0,"White","West",0,0,1,46,1993
27,,1,"White",0,0,0,0,,2500,"Business",0,1,0,0,"White","West",1,0,1,27,0
42,37,1,"White",0,0,1,0,0,155000,"Social sciences",1,1,2,2,"White","West",0,0,1,42,2005
39,41,1,"White",1,0,0,0,59300,730,"Natural sciences",1,1,2,0,"White","West",0,0,1,39,1995
25,,1,"White",0,0,1,0,,46000,"Social sciences",0,1,0,0,"White","West",1,0,1,25,0
